sid,dat,tim,open_value,low,high,close_value,volume
292,2020-05-04,13:13:00,27.6,27.39,28.42,27.585,9917895
146,2020-05-04,13:12:00,200.2,198.76,205,202.75,10201232
178,2020-05-04,13:12:00,1308.13,1296.01,1314.99,1307.99,808338
267,2020-05-04,13:12:00,2256.38,2256.5,2326,2295.42,3398310
292,2020-05-04,13:12:00,27.6,27.39,28.42,27.56,9890204
632,2020-05-04,13:12:00,73.72,72.13,77.9,76.33,167818
711,2020-05-04,13:12:00,417.78,414.87,428.54,422.33,4870775
971,2020-05-04,13:12:00,22.21,21.35,22.45,22.3925,538807
365,2020-05-04,13:12:00,289.17,286.33,292.1,288.67,19877525
413,2020-05-04,13:12:00,18,17.42,18.69,18.48,1149981
579,2020-05-04,13:12:00,701,698,748.8,730.74,12115963
365,2020-05-04,13:11:00,289.17,286.33,292.1,288.95,19748982
413,2020-05-04,13:11:00,18,17.42,18.69,18.49,1148657
579,2020-05-04,13:11:00,701,698,748.8,733.22,12056143
146,2020-05-04,13:11:00,200.2,198.76,205,203.07,10158027
178,2020-05-04,13:11:00,1308.13,1296.01,1314.99,1308.36,806724
267,2020-05-04,13:11:00,2256.38,2256.5,2326,2295.43,3386116
292,2020-05-04,13:11:00,27.6,27.39,28.42,27.6101,9836907
632,2020-05-04,13:11:00,73.72,72.13,77.9,76.33,167817
711,2020-05-04,13:11:00,417.78,414.87,428.54,422.765,4859491
971,2020-05-04,13:11:00,22.21,21.35,22.45,22.4,536618
632,2020-05-04,13:10:00,73.72,72.13,77.9,76.51,167517
711,2020-05-04,13:10:00,417.78,414.87,428.54,423.05,4850996
971,2020-05-04,13:10:00,22.21,21.35,22.45,22.45,535824
365,2020-05-04,13:10:00,289.17,286.33,292.1,289.35,19600504
413,2020-05-04,13:10:00,18,17.42,18.69,18.525,1146200
579,2020-05-04,13:10:00,701,698,748.8,735.258,12040341
146,2020-05-04,13:10:00,200.2,198.76,205,203.42,10126568
178,2020-05-04,13:10:00,1308.13,1296.01,1314.99,1310.53,804715
267,2020-05-04,13:10:00,2256.38,2256.5,2326,2298.28,3375873
292,2020-05-04,13:10:00,27.6,27.39,28.42,27.68,9813848
146,2020-05-04,13:09:00,200.2,198.76,205,203.32,10104735
178,2020-05-04,13:09:00,1308.13,1296.01,1314.99,1310.03,802976
267,2020-05-04,13:09:00,2256.38,2256.5,2326,2296.91,3370863
292,2020-05-04,13:09:00,27.6,27.39,28.42,27.675,9787074
632,2020-05-04,13:09:00,73.72,72.13,77.9,76.44,167309
711,2020-05-04,13:09:00,417.78,414.87,428.54,423.12,4841580
971,2020-05-04,13:09:00,22.21,21.35,22.44,22.43,533877
365,2020-05-04,13:09:00,289.17,286.33,292.1,289.57,19535590
413,2020-05-04,13:09:00,18,17.42,18.69,18.51,1145516
579,2020-05-04,13:09:00,701,698,748.8,733.681,12017106
365,2020-05-04,13:08:00,289.17,286.33,292.1,289.7,19485285
413,2020-05-04,13:08:00,18,17.42,18.69,18.49,1142035
579,2020-05-04,13:08:00,701,698,748.8,734.08,12005496
146,2020-05-04,13:08:00,200.2,198.76,205,203.33,10083944
178,2020-05-04,13:08:00,1308.13,1296.01,1314.99,1310.22,800257
267,2020-05-04,13:08:00,2256.38,2256.5,2326,2297.71,3365287
292,2020-05-04,13:08:00,27.6,27.39,28.42,27.665,9737999
632,2020-05-04,13:08:00,73.72,72.13,77.9,76.225,166990
711,2020-05-04,13:08:00,417.78,414.87,428.54,423.145,4834484
971,2020-05-04,13:08:00,22.21,21.35,22.44,22.43,533666
632,2020-05-04,13:07:00,73.72,72.13,77.9,76.49,166585
711,2020-05-04,13:07:00,417.78,414.87,428.54,422.53,4819999
971,2020-05-04,13:07:00,22.21,21.35,22.44,22.44,533458
365,2020-05-04,13:07:00,289.17,286.33,292.1,289.73,19448064
413,2020-05-04,13:07:00,18,17.42,18.69,18.51,1136722
579,2020-05-04,13:07:00,701,698,748.8,734.19,11984136
146,2020-05-04,13:07:00,200.2,198.76,205,203.34,10065881
178,2020-05-04,13:07:00,1308.13,1296.01,1314.99,1310.22,799729
